EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft
List of signals with length and its max. frequency / current
exported from /Users/michaelhayashi/Dropbox/IEEE ROV 2015/Electronics/boards/micro-board/MicroBoardMk2/MicroBoardMk2.brd
at 3/21/15 7:39 PM
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
PG10	  21415.21	 13.999	0.009	  27.40	 0.254	 0.254	  0.80
PG4	  21415.22	 13.999	0.009	  27.40	 0.254	 0.254	  0.80
PF13	  21415.22	 13.999	0.009	  27.40	 0.254	 0.254	  0.80
N$12	  26152.31	 11.464	0.007	  28.05	 0.203	 0.254	  0.65
REG_OR_USB	  32147.88	  9.326	0.014	  11.41	 0.406	 0.406	  1.25
N$22	  44896.05	  6.678	0.007	  16.34	 0.203	 0.254	  0.65
LED_DIN_HV	  46929.62	  6.388	0.007	  15.63	 0.203	 0.254	  0.65
N$11	 107321.14	  2.793	0.007	   6.83	 0.203	 0.254	  0.65
N$20	 170544.04	  1.758	0.009	   3.44	 0.254	 0.254	  0.80
N$10	 180316.23	  1.663	0.009	   3.25	 0.254	 0.254	  0.80
D+1	 203523.47	  1.473	0.007	   3.60	 0.203	 0.203	  0.65
N$39	 207044.20	  1.448	0.007	   3.54	 0.203	 0.203	  0.65
N$40	 207044.20	  1.448	0.007	   3.54	 0.203	 0.203	  0.65
N$41	 207044.20	  1.448	0.007	   3.54	 0.203	 0.203	  0.65
N$42	 207044.20	  1.448	0.007	   3.54	 0.203	 0.203	  0.65
D-1	 208327.07	  1.439	0.007	   3.52	 0.203	 0.203	  0.65
